Cabinas,Tiempo Total,Tasa Llegada,Tasa Servicio,Tiempo promedio espera,Autos atendidos,Ocupación promedio (%)
4,300,0.2,0.333,0.0,52,14.507535374655339
4,300,0.2,0.333,0.0,71,16.640049658087207
4,300,0.2,0.333,0.0011561025785867555,55,18.169058898696118
4,300,0.2,0.333,0.0,54,10.667351618733377
4,300,0.2,0.333,0.0,53,12.791353131680998
4,300,0.2,0.333,0.0,62,18.80146579888927
4,300,0.2,0.333,0.0,58,12.871575118510583
4,300,0.2,0.333,0.0,52,13.224137202696081
4,300,0.2,0.333,0.0,58,11.995381718935953
4,300,0.2,0.25,0.0,65,20.93090657241714
4,300,0.2,0.25,0.0,56,20.679445830821383
4,300,0.2,0.25,0.0,62,17.344065527544164
4,300,0.2,0.25,0.0,51,15.35227329014899
4,300,0.2,0.25,0.0355917783748965,62,24.448864392789105
4,300,0.2,0.25,0.0,53,15.97108638931419
4,300,0.2,0.25,0.0,53,22.690471506036157
4,300,0.2,0.25,0.002305307529036327,65,17.927836102576954
4,300,0.2,0.25,0.0,59,18.193788578209553
4,300,0.2,0.25,0.0,61,19.92720113616988
4,500,0.25,0.333,0.0,126,17.31901780722703
4,500,0.25,0.333,0.0,123,18.836634943753648
4,500,0.25,0.333,0.0,122,19.186046497831377
4,500,0.25,0.333,0.0,108,20.86801957504192
4,500,0.25,0.333,0.0,119,15.101997506164349
4,500,0.25,0.333,0.010629890222933019,142,21.2358940389902
4,500,0.25,0.333,0.0,116,16.547917599637586
4,500,0.25,0.333,0.0031808663026357082,114,18.09009532711228
4,500,0.25,0.333,0.0,112,18.39699775053218
4,500,0.25,0.333,0.011707600987122863,131,19.340811278985502
4,500,0.25,0.25,0.0,129,25.704580195962613
4,500,0.25,0.25,0.008110479698446669,122,25.681749486054635
4,500,0.25,0.25,0.018808556088364584,129,24.434187717795638
4,500,0.25,0.25,0.14255015360180542,130,24.67821846589287
4,500,0.25,0.25,0.007624006499085444,115,21.908943359681228
4,500,0.25,0.25,0.05898946570288243,133,27.01510521124658
4,500,0.25,0.25,0.0,140,26.149606024600224
4,500,0.25,0.25,0.0007646231650059276,123,21.666404877992587
4,500,0.25,0.25,0.198403351587622,124,30.095886009098894
4,500,0.25,0.25,0.0013472037713202984,126,25.346444583099064
4,500,0.2,0.333,0.01339611809770044,98,13.308198775308087
4,500,0.2,0.333,0.0,115,18.071106524749887
4,500,0.2,0.333,0.0,98,16.02226808968877
4,500,0.2,0.333,0.0,100,13.68129792707572
4,500,0.2,0.333,0.0,86,14.157351095993352
4,500,0.2,0.333,0.0,95,13.930916744362765
4,500,0.2,0.333,0.004071032091394844,99,13.927360671394226
4,500,0.2,0.333,0.0,86,12.224656857726504
4,500,0.2,0.333,0.01535020015014972,103,17.528019771802295
4,500,0.2,0.333,0.0,93,14.733337530044484
4,500,0.2,0.25,0.0,97,20.097761785339703
4,500,0.2,0.25,0.0,103,19.460193618522535
4,500,0.2,0.25,0.001776219515979887,113,19.308223870246007
4,500,0.2,0.25,0.0,89,16.50775847743363
4,500,0.2,0.25,0.018537349660952884,104,18.318126515584183
4,500,0.2,0.25,0.03439309695911799,86,16.964630949133063
4,500,0.2,0.25,0.03115780136306079,105,20.596475650821958
4,500,0.2,0.25,0.0022749964460251704,100,21.994767516274933
4,500,0.2,0.25,0.0,93,15.957356217285154
4,500,0.2,0.25,0.013493844261368793,88,20.17858567272048
